Job Title,Rating,Location,Headquarters,Size,company_txt,Industry,Lower Salary,Upper Salary,Avg Salary(K),job_title_sim,seniority_by_title,Python,spark,aws,sql,keras,pytorch,scikit,tensor,hadoop,flink,mongo,lat,lng
"Scientist, Bacteriology",2.1,"Concord, CA","Concord, CA",5,Cerus Corporation,Biotech & Pharmaceuticals,74,149,111.5,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,37.9722,-122.0016
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",3.7,"Cambridge, MA","OSAKA, Japan",9,Takeda Pharmaceuticals,Biotech & Pharmaceuticals,113,196,154.5,data engineer,na,0,1,1,1,0,0,0,0,1,0,1,42.3759,-71.1185
Data Scientist,3.4,"New York, NY","Norwalk, CT",5,"Remedy BPCI Partners, LLC.",Health Care Services & Hospitals,69,121,95.0,data scientist,na,1,1,1,1,0,0,0,0,0,0,0,40.6943,-73.9249
Data Scientist,4.0,"New York, NY","New York, NY",6,Strategic Financial Solutions,Consumer Product Rental,71,124,97.5,data scientist,na,1,0,0,1,0,0,0,0,0,0,0,40.6943,-73.9249
Senior Data Scientist,4.4,"Chicago, IL","Chicago, IL",5,Maven Wave Partners,Consulting,97,160,128.5,data scientist,sr,1,0,1,1,0,0,0,0,1,0,0,41.8375,-87.6866
Senior Research Scientist-Machine Learning,2.6,"Pittsburgh, PA","Pittsburgh, PA",6,Software Engineering Institute,Colleges & Universities,81,167,124.0,machine learning engineer,sr,0,0,0,0,0,0,0,0,0,0,0,40.4397,-79.9763
Principal Data Scientist,3.2,"San Francisco, CA","San Francisco, CA",6,The Climate Corporation,Enterprise Software & Network Solutions,150,238,194.0,data scientist,sr,0,0,1,0,0,0,0,0,0,0,0,37.7558,-122.4449
Clinical Laboratory Scientist,3.7,"Vail, CO","Vail, CO",6,Vail Health,Health Care Services & Hospitals,49,81,65.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,39.6385,-106.3613
"Data Analyst 1, full-time contract worker for up to 12 months",4.2,"Salt Lake City, UT","Salt Lake City, UT",9,The Church of Jesus Christ of Latter-day Saints,Religious Organizations,35,65,50.0,analyst,na,0,0,1,1,0,0,0,0,0,0,0,40.7776,-111.9311
Data Scientist,3.5,"New York, NY","New York, NY",5,Crossix Solutions,Advertising & Marketing,77,132,104.5,data scientist,na,1,1,1,1,0,0,0,0,0,0,0,40.6943,-73.9249
Data Scientist,4.3,"Phoenix, AZ","Brea, CA",5,Solugenix Corporation,IT Services,51,88,69.5,data scientist,na,1,0,0,1,0,0,1,0,0,0,0,33.5722,-112.0892
Data Scientist,2.6,"Irvine, CA","Irvine, CA",9,West Coast University,Colleges & Universities,101,141,121.0,data scientist,na,1,0,0,1,0,0,0,0,0,0,0,33.6772,-117.7738
Data Engineer - Consultant (Charlotte Based),4.2,"Charlotte, NC","Chicago, IL",5,Clarity Insights,IT Services,59,112,85.5,data engineer,na,1,0,0,1,0,0,0,0,1,0,0,35.2083,-80.8303
